Method,Sample Type,Subgroup,Replicate,Execution Time (secs),Number of True Taxa,Number of Estimated Taxa,Number of Shared Taxa,Number of True Branches,Number of Estimated Branches,Number of False Negatives,Number of False Positives
astral-4,fix,high,01,901.0,51,51,51,48,48,0,0
astral-4,fix,high,02,699.0,51,51,51,48,48,0,0
astral-4,fix,high,03,975.0,51,51,51,48,48,0,0
astral-4,fix,high,04,959.0,51,51,51,48,48,0,0
astral-4,fix,high,05,935.0,51,51,51,48,48,0,0
astral-4,fix,high,06,880.0,51,51,51,48,48,1,1
astral-4,fix,high,07,729.0,51,51,51,48,48,0,0
astral-4,fix,high,08,1021.0,51,51,51,48,48,0,0
astral-4,fix,high,09,897.0,51,51,51,48,48,0,0
astral-4,fix,high,10,769.0,51,51,51,48,48,0,0
astral-4,fix,high,11,927.0,51,51,51,48,48,1,1
astral-4,fix,high,12,920.0,51,51,51,48,48,0,0
astral-4,fix,high,13,952.0,51,51,51,48,48,0,0
astral-4,fix,high,14,1024.0,51,51,51,48,48,1,1
astral-4,fix,high,15,955.0,51,51,51,48,48,2,2
astral-4,fix,high,16,960.0,51,51,51,48,48,0,0
astral-4,fix,high,17,927.0,51,51,51,48,48,0,0
astral-4,fix,high,18,947.0,51,51,51,48,48,0,0
astral-4,fix,high,19,984.0,51,51,51,48,48,0,0
astral-4,fix,high,20,915.0,51,51,51,48,48,0,0
astral-4,biased,high,01,564.0,51,51,51,48,48,0,0
astral-4,biased,high,02,631.0,51,51,51,48,48,0,0
astral-4,biased,high,03,608.0,51,51,51,48,48,1,1
astral-4,biased,high,04,554.0,51,51,51,48,48,0,0
astral-4,biased,high,05,610.0,51,51,51,48,48,0,0
astral-4,biased,high,06,398.0,51,51,51,48,48,1,1
astral-4,biased,high,07,620.0,51,51,51,48,48,0,0
astral-4,biased,high,08,686.0,51,51,51,48,48,0,0
astral-4,biased,high,09,585.0,51,51,51,48,48,0,0
astral-4,biased,high,10,662.0,51,51,51,48,48,0,0
astral-4,biased,high,11,460.0,51,51,51,48,48,1,1
astral-4,biased,high,12,626.0,51,51,51,48,48,0,0
astral-4,biased,high,13,569.0,51,51,51,48,48,0,0
astral-4,biased,high,14,658.0,51,51,51,48,48,1,1
astral-4,biased,high,15,608.0,51,51,51,48,48,2,2
astral-4,biased,high,16,608.0,51,51,51,48,48,0,0
astral-4,biased,high,17,617.0,51,51,51,48,48,0,0
astral-4,biased,high,18,600.0,51,51,51,48,48,0,0
astral-4,biased,high,19,623.0,51,51,51,48,48,0,0
astral-4,biased,high,20,525.0,51,51,51,48,48,0,0
astral-4,unbiased,high,01,923.0,51,51,51,48,48,0,0
astral-4,unbiased,high,02,833.0,51,51,51,48,48,0,0
astral-4,unbiased,high,03,930.0,51,51,51,48,48,0,0
astral-4,unbiased,high,04,838.0,51,51,51,48,48,0,0
astral-4,unbiased,high,05,972.0,51,51,51,48,48,0,0
astral-4,unbiased,high,06,689.0,51,51,51,48,48,1,1
astral-4,unbiased,high,07,872.0,51,51,51,48,48,0,0
astral-4,unbiased,high,08,992.0,51,51,51,48,48,0,0
astral-4,unbiased,high,09,924.0,51,51,51,48,48,0,0
astral-4,unbiased,high,10,736.0,51,51,51,48,48,0,0
astral-4,unbiased,high,11,877.0,51,51,51,48,48,1,1
astral-4,unbiased,high,12,818.0,51,51,51,48,48,0,0
astral-4,unbiased,high,13,921.0,51,51,51,48,48,0,0
astral-4,unbiased,high,14,992.0,51,51,51,48,48,0,0
astral-4,unbiased,high,15,920.0,51,51,51,48,48,2,2
astral-4,unbiased,high,16,936.0,51,51,51,48,48,0,0
astral-4,unbiased,high,17,882.0,51,51,51,48,48,0,0
astral-4,unbiased,high,18,681.0,51,51,51,48,48,0,0
astral-4,unbiased,high,19,922.0,51,51,51,48,48,0,0
astral-4,unbiased,high,20,833.0,51,51,51,48,48,0,0
astral-4,fix,mid,01,1039.0,51,51,51,48,48,1,1
astral-4,fix,mid,02,1003.0,51,51,51,48,48,0,0
astral-4,fix,mid,03,749.0,51,51,51,48,48,2,2
astral-4,fix,mid,04,1032.0,51,51,51,48,48,1,1
astral-4,fix,mid,05,965.0,51,51,51,48,48,0,0
astral-4,fix,mid,06,975.0,51,51,51,48,48,0,0
astral-4,fix,mid,07,993.0,51,51,51,48,48,0,0
astral-4,fix,mid,08,953.0,51,51,51,48,48,1,1
astral-4,fix,mid,09,741.0,51,51,51,48,48,0,0
astral-4,fix,mid,10,1000.0,51,51,51,48,48,0,0
astral-4,fix,mid,11,1008.0,51,51,51,48,48,0,0
astral-4,fix,mid,12,740.0,51,51,51,48,48,0,0
astral-4,fix,mid,13,956.0,51,51,51,48,48,0,0
astral-4,fix,mid,14,1019.0,51,51,51,48,48,0,0
astral-4,fix,mid,15,1003.0,51,51,51,48,48,0,0
astral-4,fix,mid,16,1017.0,51,51,51,48,48,0,0
astral-4,fix,mid,17,766.0,51,51,51,48,48,0,0
astral-4,fix,mid,18,982.0,51,51,51,48,48,2,2
astral-4,fix,mid,19,982.0,51,51,51,48,48,0,0
astral-4,fix,mid,20,947.0,51,51,51,48,48,0,0
astral-4,biased,mid,01,637.0,51,51,51,48,48,1,1
astral-4,biased,mid,02,559.0,51,51,51,48,48,0,0
astral-4,biased,mid,03,599.0,51,51,51,48,48,2,2
astral-4,biased,mid,04,605.0,51,51,51,48,48,1,1
astral-4,biased,mid,05,590.0,51,51,51,48,48,0,0
astral-4,biased,mid,06,599.0,51,51,51,48,48,0,0
astral-4,biased,mid,07,669.0,51,51,51,48,48,0,0
astral-4,biased,mid,08,635.0,51,51,51,48,48,1,1
astral-4,biased,mid,09,669.0,51,51,51,48,48,0,0
astral-4,biased,mid,10,604.0,51,51,51,48,48,0,0
astral-4,biased,mid,11,614.0,51,51,51,48,48,0,0
astral-4,biased,mid,12,615.0,51,51,51,48,48,0,0
astral-4,biased,mid,13,564.0,51,51,51,48,48,0,0
astral-4,biased,mid,14,610.0,51,51,51,48,48,0,0
astral-4,biased,mid,15,637.0,51,51,51,48,48,0,0
astral-4,biased,mid,16,446.0,51,51,51,48,48,0,0
astral-4,biased,mid,17,658.0,51,51,51,48,48,0,0
astral-4,biased,mid,18,606.0,51,51,51,48,48,2,2
astral-4,biased,mid,19,615.0,51,51,51,48,48,0,0
astral-4,biased,mid,20,406.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,01,1000.0,51,51,51,48,48,1,1
astral-4,unbiased,mid,02,707.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,03,905.0,51,51,51,48,48,2,2
astral-4,unbiased,mid,04,999.0,51,51,51,48,48,1,1
astral-4,unbiased,mid,05,930.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,06,935.0,51,51,51,48,48,0,0
astral-4,unbiased,mid,07,956.0,51,51,51,48,48,0,0
