Method,Sample Type,Subgroup,Replicate,Execution Time (secs),Number of True Taxa,Number of Estimated Taxa,Number of Shared Taxa,Number of True Branches,Number of Estimated Branches,Number of False Negatives,Number of False Positives
astral-multi,fix,high,01,3666.257,51,51,51,48,48,0,0
astral-multi,fix,high,02,3281.66,51,51,51,48,48,0,0
astral-multi,fix,high,03,3085.146,51,51,51,48,48,0,0
astral-multi,fix,high,04,3184.884,51,51,51,48,48,0,0
astral-multi,fix,high,05,3657.95,51,51,51,48,48,0,0
astral-multi,fix,high,06,3062.744,51,51,51,48,48,1,1
astral-multi,fix,high,07,2952.537,51,51,51,48,48,0,0
astral-multi,fix,high,08,3236.003,51,51,51,48,48,0,0
astral-multi,fix,high,09,2727.231,51,51,51,48,48,0,0
astral-multi,fix,high,10,3893.321,51,51,51,48,48,0,0
astral-multi,fix,high,11,2775.898,51,51,51,48,48,1,1
astral-multi,fix,high,12,3904.155,51,51,51,48,48,0,0
astral-multi,fix,high,13,3061.714,51,51,51,48,48,0,0
astral-multi,fix,high,14,3200.843,51,51,51,48,48,1,1
astral-multi,fix,high,15,3046.446,51,51,51,48,48,2,2
astral-multi,fix,high,16,2921.805,51,51,51,48,48,0,0
astral-multi,fix,high,17,2866.141,51,51,51,48,48,0,0
astral-multi,fix,high,18,3019.302,51,51,51,48,48,0,0
astral-multi,fix,high,19,3143.487,51,51,51,48,48,0,0
astral-multi,fix,high,20,3278.212,51,51,51,48,48,0,0
astral-multi,biased,high,01,845.355,51,51,51,48,48,0,0
astral-multi,biased,high,02,3952.542,51,51,51,48,48,0,0
astral-multi,biased,high,03,1723.293,51,51,51,48,48,1,1
astral-multi,biased,high,04,644.44,51,51,51,48,48,0,0
astral-multi,biased,high,05,5845.515,51,51,51,48,48,0,0
astral-multi,biased,high,06,605.045,51,51,51,48,48,1,1
astral-multi,biased,high,07,711.906,51,51,51,48,48,0,0
astral-multi,biased,high,08,1018.788,51,51,51,48,48,0,0
astral-multi,biased,high,09,971.929,51,51,51,48,48,0,0
astral-multi,biased,high,10,797.402,51,51,51,48,48,0,0
astral-multi,biased,high,11,503.788,51,51,51,48,48,1,1
astral-multi,biased,high,12,2026.619,51,51,51,48,48,0,0
astral-multi,biased,high,13,924.712,51,51,51,48,48,0,0
astral-multi,biased,high,14,885.037,51,51,51,48,48,1,1
astral-multi,biased,high,15,756.384,51,51,51,48,48,2,2
astral-multi,biased,high,16,707.276,51,51,51,48,48,0,0
astral-multi,biased,high,17,919.07,51,51,51,48,48,0,0
astral-multi,biased,high,18,735.669,51,51,51,48,48,0,0
astral-multi,biased,high,19,703.679,51,51,51,48,48,0,0
astral-multi,biased,high,20,3868.999,51,51,51,48,48,0,0
astral-multi,unbiased,high,01,2852.779,51,51,51,48,48,0,0
astral-multi,unbiased,high,02,2208.705,51,51,51,48,48,0,0
astral-multi,unbiased,high,03,2100.722,51,51,51,48,48,0,0
astral-multi,unbiased,high,04,2157.108,51,51,51,48,48,0,0
astral-multi,unbiased,high,05,2332.178,51,51,51,48,48,0,0
astral-multi,unbiased,high,06,2249.659,51,51,51,48,48,1,1
astral-multi,unbiased,high,07,2065.624,51,51,51,48,48,0,0
astral-multi,unbiased,high,08,2286.959,51,51,51,48,48,0,0
astral-multi,unbiased,high,09,1944.693,51,51,51,48,48,0,0
astral-multi,unbiased,high,10,2242.857,51,51,51,48,48,0,0
astral-multi,unbiased,high,11,1933.609,51,51,51,48,48,1,1
astral-multi,unbiased,high,12,2039.816,51,51,51,48,48,0,0
