Method,Sample Type,Subgroup,Replicate,Execution Time (secs),Number of True Taxa,Number of Estimated Taxa,Number of Shared Taxa,Number of True Branches,Number of Estimated Branches,Number of False Negatives,Number of False Positives
astral-pro,fix,high,01,349.0,51,51,51,48,48,0,0
astral-pro,fix,high,02,204.0,51,51,51,48,48,0,0
astral-pro,fix,high,03,308.0,51,51,51,48,48,0,0
astral-pro,fix,high,04,303.0,51,51,51,48,48,0,0
astral-pro,fix,high,05,322.0,51,51,51,48,48,0,0
astral-pro,fix,high,06,263.0,51,51,51,48,48,1,1
astral-pro,fix,high,07,313.0,51,51,51,48,48,0,0
astral-pro,fix,high,08,201.0,51,51,51,48,48,0,0
astral-pro,fix,high,09,269.0,51,51,51,48,48,0,0
astral-pro,fix,high,10,201.0,51,51,51,48,48,0,0
astral-pro,fix,high,11,180.0,51,51,51,48,48,1,1
astral-pro,fix,high,12,297.0,51,51,51,48,48,0,0
astral-pro,fix,high,13,193.0,51,51,51,48,48,0,0
astral-pro,fix,high,14,257.0,51,51,51,48,48,0,0
astral-pro,fix,high,15,159.0,51,51,51,48,48,2,2
astral-pro,fix,high,16,178.0,51,51,51,48,48,0,0
astral-pro,fix,high,17,296.0,51,51,51,48,48,0,0
astral-pro,fix,high,18,239.0,51,51,51,48,48,0,0
astral-pro,fix,high,19,186.0,51,51,51,48,48,0,0
astral-pro,fix,high,20,247.0,51,51,51,48,48,0,0
astral-pro,biased,high,01,198.0,51,51,51,48,48,0,0
astral-pro,biased,high,02,125.0,51,51,51,48,48,0,0
astral-pro,biased,high,03,167.0,51,51,51,48,48,1,1
astral-pro,biased,high,04,123.0,51,51,51,48,48,0,0
astral-pro,biased,high,05,213.0,51,51,51,48,48,0,0
astral-pro,biased,high,06,194.0,51,51,51,48,48,1,1
astral-pro,biased,high,07,204.0,51,51,51,48,48,0,0
astral-pro,biased,high,08,195.0,51,51,51,48,48,0,0
astral-pro,biased,high,09,128.0,51,51,51,48,48,0,0
astral-pro,biased,high,10,142.0,51,51,51,48,48,0,0
astral-pro,biased,high,11,175.0,51,51,51,48,48,1,1
astral-pro,biased,high,12,200.0,51,51,51,48,48,0,0
astral-pro,biased,high,13,199.0,51,51,51,48,48,0,0
astral-pro,biased,high,14,131.0,51,51,51,48,48,1,1
astral-pro,biased,high,15,205.0,51,51,51,48,48,2,2
astral-pro,biased,high,16,128.0,51,51,51,48,48,0,0
astral-pro,biased,high,17,126.0,51,51,51,48,48,0,0
astral-pro,biased,high,18,130.0,51,51,51,48,48,0,0
astral-pro,biased,high,19,184.0,51,51,51,48,48,0,0
astral-pro,biased,high,20,168.0,51,51,51,48,48,0,0
astral-pro,unbiased,high,01,303.0,51,51,51,48,48,0,0
astral-pro,unbiased,high,02,257.0,51,51,51,48,48,0,0
astral-pro,unbiased,high,03,185.0,51,51,51,48,48,0,0
astral-pro,unbiased,high,04,176.0,51,51,51,48,48,0,0
astral-pro,unbiased,high,05,187.0,51,51,51,48,48,0,0
astral-pro,unbiased,high,06,313.0,51,51,51,48,48,1,1
astral-pro,unbiased,high,07,199.0,51,51,51,48,48,0,0
astral-pro,unbiased,high,08,339.0,51,51,51,48,48,0,0
astral-pro,unbiased,high,09,264.0,51,51,51,48,48,0,0
