Method,Sample Type,Subgroup,Replicate,Execution Time (secs),Number of True Taxa,Number of Estimated Taxa,Number of Shared Taxa,Number of True Branches,Number of Estimated Branches,Number of False Negatives,Number of False Positives
Tree-QMC,biased,high,08,1291,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,17,1894,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,11,1924,51,51,51,48,48,1,1
Tree-QMC,unbiased,low,18,2419,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,08,1911,51,51,51,48,48,1,1
Tree-QMC,unbiased,low,01,1992,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,16,2193,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,01,1853,51,51,51,48,48,0,0
Tree-QMC,fix,low,04,1971,51,51,51,48,48,0,0
Tree-QMC,biased,low,04,1214,51,51,51,48,48,0,0
Tree-QMC,biased,low,03,1465,51,51,51,48,48,2,2
Tree-QMC,fix,low,20,2110,51,51,51,48,48,2,2
Tree-QMC,fix,high,15,2037,51,51,51,48,48,2,2
Tree-QMC,biased,high,16,1373,51,51,51,48,48,0,0
Tree-QMC,fix,high,10,2085,51,51,51,48,48,0,0
Tree-QMC,unbiased,low,03,2368,51,51,51,48,48,2,2
Tree-QMC,biased,high,17,1265,51,51,51,48,48,0,0
Tree-QMC,fix,high,11,1970,51,51,51,48,48,1,1
Tree-QMC,biased,mid,14,1267,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,13,1948,51,51,51,48,48,0,0
Tree-QMC,biased,low,11,1365,51,51,51,48,48,2,2
Tree-QMC,biased,low,18,1550,51,51,51,48,48,0,0
Tree-QMC,biased,high,18,1191,51,51,51,48,48,0,0
Tree-QMC,fix,mid,16,2375,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,07,1907,51,51,51,48,48,0,0
Tree-QMC,unbiased,low,13,1900,51,51,51,48,48,3,3
Tree-QMC,unbiased,low,08,2157,51,51,51,48,48,1,1
Tree-QMC,biased,mid,04,1086,51,51,51,48,48,1,1
Tree-QMC,unbiased,high,05,1917,51,51,51,48,48,0,0
Tree-QMC,unbiased,low,02,1970,51,51,51,48,48,1,1
Tree-QMC,fix,mid,10,2244,51,51,51,48,48,0,0
Tree-QMC,biased,high,04,1191,51,51,51,48,48,0,0
Tree-QMC,biased,high,13,1149,51,51,51,48,48,0,0
Tree-QMC,unbiased,low,16,1887,51,51,51,48,48,3,3
Tree-QMC,biased,high,20,1152,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,20,1848,51,51,51,48,48,0,0
Tree-QMC,fix,mid,02,2031,51,51,51,48,48,1,1
Tree-QMC,unbiased,low,20,2103,51,51,51,48,48,2,2
Tree-QMC,fix,mid,04,2005,51,51,51,48,48,1,1
Tree-QMC,biased,high,19,1203,51,51,51,48,48,0,0
Tree-QMC,fix,mid,09,2021,51,51,51,48,48,0,0
Tree-QMC,biased,low,20,1178,51,51,51,48,48,2,2
Tree-QMC,unbiased,high,03,1857,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,17,1965,51,51,51,48,48,0,0
Tree-QMC,fix,mid,14,2100,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,10,1981,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,20,1871,51,51,51,48,48,0,0
Tree-QMC,fix,high,03,2003,51,51,51,48,48,0,0
Tree-QMC,fix,low,10,2417,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,12,1905,51,51,51,48,48,0,0
Tree-QMC,biased,mid,10,1403,51,51,51,48,48,0,0
Tree-QMC,biased,low,06,1264,51,51,51,48,48,1,1
Tree-QMC,biased,low,14,1213,51,51,51,48,48,1,1
Tree-QMC,biased,high,01,1086,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,12,1899,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,19,2245,51,51,51,48,48,0,0
Tree-QMC,fix,mid,06,2219,51,51,51,48,48,0,0
Tree-QMC,fix,high,02,2081,51,51,51,48,48,0,0
Tree-QMC,biased,mid,18,1222,51,51,51,48,48,2,2
Tree-QMC,fix,high,18,1882,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,15,2006,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,14,1925,51,51,51,48,48,0,0
Tree-QMC,unbiased,mid,01,1970,51,51,51,48,48,1,1
Tree-QMC,unbiased,high,13,1939,51,51,51,48,48,0,0
Tree-QMC,unbiased,high,09,1883,51,51,51,48,48,0,0
