Method,Sample Type,Subgroup,Replicate,Execution Time (secs),Number of True Taxa,Number of Estimated Taxa,Number of Shared Taxa,Number of True Branches,Number of Estimated Branches,Number of False Negatives,Number of False Positives
wastral,fix,high,01,1083.0,51,51,51,48,48,47,47
wastral,fix,high,02,961.0,51,51,51,48,48,48,48
wastral,fix,high,03,1686.0,51,51,51,48,48,48,48
wastral,fix,high,04,1058.0,51,51,51,48,48,48,48
wastral,fix,high,05,2491.0,51,51,51,48,48,48,48
wastral,fix,high,06,2558.0,51,51,51,48,48,48,48
wastral,fix,high,07,674.0,51,51,51,48,48,48,48
wastral,fix,high,08,1487.0,51,51,51,48,48,48,48
wastral,fix,high,09,1625.0,51,51,51,48,48,48,48
wastral,fix,high,10,1261.0,51,51,51,48,48,48,48
wastral,fix,high,11,1227.0,51,51,51,48,48,47,47
wastral,fix,high,12,2211.0,51,51,51,48,48,48,48
wastral,fix,high,13,1763.0,51,51,51,48,48,48,48
wastral,fix,high,14,1910.0,51,51,51,48,48,48,48
wastral,fix,high,15,1229.0,51,51,51,48,48,48,48
wastral,fix,high,16,2092.0,51,51,51,48,48,48,48
wastral,fix,high,17,2036.0,51,51,51,48,48,48,48
wastral,fix,high,18,772.0,51,51,51,48,48,48,48
wastral,fix,high,19,1054.0,51,51,51,48,48,47,47
wastral,fix,high,20,1640.0,51,51,51,48,48,48,48
wastral,biased,high,01,1772.0,51,51,51,48,48,48,48
wastral,biased,high,02,3083.0,51,51,51,48,48,48,48
wastral,biased,high,03,701.0,51,51,51,48,48,48,48
wastral,biased,high,04,689.0,51,51,51,48,48,48,48
wastral,biased,high,05,1907.0,51,51,51,48,48,48,48
wastral,biased,high,06,691.0,51,51,51,48,48,48,48
wastral,biased,high,07,1552.0,51,51,51,48,48,48,48
wastral,biased,high,08,2105.0,51,51,51,48,48,47,47
wastral,biased,high,09,890.0,51,51,51,48,48,47,47
wastral,biased,high,10,1185.0,51,51,51,48,48,48,48
wastral,biased,high,11,1089.0,51,51,51,48,48,48,48
wastral,biased,high,12,493.0,51,51,51,48,48,48,48
wastral,biased,high,13,871.0,51,51,51,48,48,48,48
wastral,biased,high,14,1635.0,51,51,51,48,48,48,48
wastral,biased,high,15,885.0,51,51,51,48,48,48,48
wastral,biased,high,16,794.0,51,51,51,48,48,47,47
wastral,biased,high,17,414.0,51,51,51,48,48,48,48
wastral,biased,high,18,1160.0,51,51,51,48,48,48,48
wastral,biased,high,19,766.0,51,51,51,48,48,48,48
wastral,biased,high,20,748.0,51,51,51,48,48,48,48
wastral,unbiased,high,01,1734.0,51,51,51,48,48,47,47
wastral,unbiased,high,02,2996.0,51,51,51,48,48,47,47
wastral,unbiased,high,03,2497.0,51,51,51,48,48,47,47
wastral,unbiased,high,04,1036.0,51,51,51,48,48,48,48
wastral,unbiased,high,05,2218.0,51,51,51,48,48,47,47
wastral,unbiased,high,06,1015.0,51,51,51,48,48,47,47
wastral,unbiased,high,07,2146.0,51,51,51,48,48,48,48
wastral,unbiased,high,08,1032.0,51,51,51,48,48,48,48
wastral,unbiased,high,09,4042.0,51,51,51,48,48,48,48
wastral,unbiased,high,10,658.0,51,51,51,48,48,48,48
wastral,unbiased,high,11,2080.0,51,51,51,48,48,48,48
wastral,unbiased,high,12,1662.0,51,51,51,48,48,48,48
wastral,unbiased,high,13,2524.0,51,51,51,48,48,48,48
wastral,unbiased,high,14,2063.0,51,51,51,48,48,48,48
wastral,unbiased,high,15,3039.0,51,51,51,48,48,48,48
wastral,unbiased,high,16,1447.0,51,51,51,48,48,48,48
wastral,unbiased,high,17,2065.0,51,51,51,48,48,48,48
wastral,unbiased,high,18,1116.0,51,51,51,48,48,47,47
wastral,unbiased,high,19,737.0,51,51,51,48,48,48,48
wastral,unbiased,high,20,1065.0,51,51,51,48,48,47,47
wastral,fix,mid,01,2170.0,51,51,51,48,48,48,48
wastral,fix,mid,02,2756.0,51,51,51,48,48,47,47
wastral,fix,mid,03,1425.0,51,51,51,48,48,48,48
wastral,fix,mid,04,2145.0,51,51,51,48,48,48,48
wastral,fix,mid,05,1093.0,51,51,51,48,48,48,48
wastral,fix,mid,06,1699.0,51,51,51,48,48,48,48
wastral,fix,mid,07,1159.0,51,51,51,48,48,48,48
wastral,fix,mid,08,1653.0,51,51,51,48,48,48,48
wastral,fix,mid,09,1463.0,51,51,51,48,48,48,48
wastral,fix,mid,10,1138.0,51,51,51,48,48,48,48
wastral,fix,mid,11,1746.0,51,51,51,48,48,48,48
wastral,fix,mid,12,1111.0,51,51,51,48,48,47,47
wastral,fix,mid,13,2130.0,51,51,51,48,48,48,48
wastral,fix,mid,14,2317.0,51,51,51,48,48,48,48
wastral,fix,mid,15,783.0,51,51,51,48,48,48,48
wastral,fix,mid,16,1752.0,51,51,51,48,48,47,47
wastral,fix,mid,17,2348.0,51,51,51,48,48,48,48
wastral,fix,mid,18,1119.0,51,51,51,48,48,48,48
wastral,fix,mid,19,1544.0,51,51,51,48,48,48,48
wastral,fix,mid,20,692.0,51,51,51,48,48,48,48
wastral,biased,mid,01,1464.0,51,51,51,48,48,48,48
wastral,biased,mid,02,1481.0,51,51,51,48,48,47,47
wastral,biased,mid,03,771.0,51,51,51,48,48,47,47
wastral,biased,mid,04,2521.0,51,51,51,48,48,48,48
wastral,biased,mid,05,1052.0,51,51,51,48,48,48,48
wastral,biased,mid,06,764.0,51,51,51,48,48,48,48
wastral,biased,mid,07,2034.0,51,51,51,48,48,48,48
wastral,biased,mid,08,1173.0,51,51,51,48,48,48,48
wastral,biased,mid,09,929.0,51,51,51,48,48,48,48
wastral,biased,mid,10,762.0,51,51,51,48,48,48,48
wastral,biased,mid,11,826.0,51,51,51,48,48,48,48
wastral,biased,mid,12,1115.0,51,51,51,48,48,48,48
wastral,biased,mid,13,1105.0,51,51,51,48,48,48,48
wastral,biased,mid,14,607.0,51,51,51,48,48,48,48
wastral,biased,mid,15,703.0,51,51,51,48,48,47,47
wastral,biased,mid,16,639.0,51,51,51,48,48,47,47
wastral,biased,mid,17,792.0,51,51,51,48,48,48,48
wastral,biased,mid,18,684.0,51,51,51,48,48,48,48
wastral,biased,mid,19,916.0,51,51,51,48,48,48,48
wastral,biased,mid,20,2191.0,51,51,51,48,48,48,48
wastral,unbiased,mid,01,1608.0,51,51,51,48,48,48,48
wastral,unbiased,mid,02,928.0,51,51,51,48,48,47,47
wastral,unbiased,mid,03,2752.0,51,51,51,48,48,48,48
wastral,unbiased,mid,04,1120.0,51,51,51,48,48,48,48
wastral,unbiased,mid,05,2034.0,51,51,51,48,48,47,47
wastral,unbiased,mid,06,1066.0,51,51,51,48,48,48,48
wastral,unbiased,mid,07,1085.0,51,51,51,48,48,47,47
wastral,unbiased,mid,08,675.0,51,51,51,48,48,48,48
wastral,unbiased,mid,09,1645.0,51,51,51,48,48,47,47
